cakavski,stokavski
abadat,pogledati
abadat,primijetiti
adio,zbogom
ala,hajde
almeno,barem
angurija,lubenica
anke,čak
anke,isto
arančata,oranžada
arija,zrak
arivat,doći
arivat,stići
armadura,skela
armar,ormar
armat,šalovati
armat,učvrstiti
armunika,harmonika
aš,jer
ašpa,greda
ašpa,drvena poluga
atelier,umjetnička radionica
augušt,kolovoz
avizat,upozoriti
avizat,obavijestiti
ažulica,ziherica
babuj,okrugli kamen
bacilat,mariti
bacilat,voditi brigu
bačva voznica,duguljasta bačva prilagođena zaprežnim kolima
badat,ubadati
badat,bosti
badava,besplatno
bagul,sanduk
bak,bik
bakul,žohar
bala,lopta
balancana,patliđan
balsamana,ukočena
bančit,partijati
bančit,tulumariti
bančit,plesati
banda,strana
bandenica,stranica
bandera,zastava
banditska,lopovska
bandunat,napustiti
bandunat,ostaviti
bankina,povišeni kameni rub uz cestu
bankuc,igra na karte za novac
barac,brajda
barbeta,brodsko uže kojim se brod privezuje za kopneni vez
bareta,kapa
barilica,bačvica
barkajol,vlasnik barke
barkun,prozor
barufa,tuča
barufa,svađa
bašelak,bosiljak
baškotini,keksi
bašta,magareći samar
baštardi,izrod
batana,čamac
batana,brodić
batić,čekić
batit se,prevrnuti se
bazgajbar,beskućnik
beči,novci
bedast,glup
bedastoća,glupost
bekar,mesar
bel,bijel
belaviša,vidikovac
belica,bijelo vino
belinac,vrsta bijelog grožđa
berekin,nosač
berekin,služnik
berma,krizma
beseda,riječ
beštimat,psovati
bevanda,vino miješano s vodom
bevanda,vino
bilo,bijelo
bin rada,željela bih
biš,crvotočina
bisage,dvodjelna torba od sukna
bisak,imela
bivat,stanovati
bivat,živjeti
bjutav,bljutav
bjutav,neslan
blago,životinja
blatno,prljavo
blato,glib
blešći,sjaji
blešći,bljesak
blokana,blokirana
blun,bundeva
blušć,povijuša
bluža,košulja
bo,ne znam
bocun,opletena boca
bodjato,bodljikavo
bodji,bodlje
bogatija,bogatstvo
bokal,vrč
bokun,komad
bolan,bolestan
bome,dabome
bome,svaka čast
bonaca,mirno more
bonaca,utiha
bonagracija,zastornica
bordižat,ploviti protiv vjetra
boro,komoda
borotalko,puder
borša,torba
boršeta,mala torba
boršeta,torbica
boška,šuma
boškarin,govedo
boškina,šumetina
botun,dugme
božja sluga,bogomoljka
bracjolet,narukvica
brageše,hlače
bratelice,naramenice
bravura,vještina
breg,brijeg
brek,pas
breme,teret
breme,prtljaga
brentača,posuda za berbu grožđa
brhan,suknja
brig,brijeg
brenta,drvena posuda za nošenje grožđa
briškula,kartaška igra
brižan,jadan
brodi jarbolati,jedrenjaci
broka,veći vrč za vodu
brontulat,prigovarati
broskva,kelj
broštula,prigovara
broštulin,sprava u kojoj se prži kava ili ječam
brumat,hranjenjem vabiti ribu na jedno mjesto
brus,oveći komad slanine kuhan zajedno s kiselim kupusom
bruštulat,paliti ili pržiti npr. kavu ili ječam
buča,mjerica za ulje u tošu
bukaleta,vrč za vino (glineni)
bukalin,noćna posuda
bukaporta,u pomorstvu poklopac grotla brodskog skladišta
buletin,ceduljica
bumbak,pamuk
bumbak,vata
bura,učestal i jak vjetar na Kvarneru. (Bura puše na refuli)
burica,mala drvena posuda
burin,slabija bura (vjetar)
burinjol,bura srednje jačine
bušat,poljubiti
bušić,poljubac
butiga,trgovina
butiga,dućan
butiger,trgovac
butiger,prodavač
buton,dugme
buža,rupa
bužban,morska riba slična pišmolju
cakavica,narječje
capon,motika pravokutnog oblika za plitko kopanje u rahloj zemlji i tesanje korova
catara,plitka brodica za prijevoz tenkova
cedilo,cjedilo
cedit,cijediti
cel,cijel
celo,cijelo
celemu svetu,cijelomu svijetu
celo,"ne poderano, cijelo, sve"
cena,cijena
ceno,jeftino
cep,mladica ili pupoljak koji se cijepi na drugu biljku
cep,mlatilo (mlatiti žito)
cepit,cijepiti
cerada,kabanica
cidilo,cjedilo
cikulata,čokolada
cima,konop
cimbulada,"ljuljačka, njihaljka"
cimiter,groblje
cintezim,"cent, stoti dio neke valute (novca)"
cinturin,"pojas, remen za sat"
cito,"tišina, umukni"
ciziba,grožđica
coban,čoban na cakavski
cok,"korjen drva, panj"
crekva,crkva
crikva,crkva
cukar,šećer
cukaran,zaslađeno
cukarijera,"zdjelica posuda, za šećer."
cundrić,resa
cupat se,grudati se
cur,mokraća
curat,mokriti
cvit,cvijet
cvitak,rani plod crne smokve znatno veći od kasnijih plodova
ča,što
ča,šta
ča,kaj
čagod,štogod (dajte čagod jimate).
čamzi,stjenice
čaval,čavao
čelica,"pčela, pčelica"
čentrin,ukrasni končani podmetač
čera,jučer
čerči,koluti na ploči štednjaka
česaj,češalj
češaj,češalj (Kastavština)
česan,češnjak
česrat,prstima fino razvlačiti vunu
čigov,čiji (Kastavština)
čimbur,dimnjak
činet (se),"prisiljavati se, siliti se, praviti se, glumiti"
čitalnica,čitaonica
čitovat,"cjelovit, kompletan"
čitovat se rodil,zdrav - bez mane
čivera,drvena nosila
čiverun,"drveno nosilo za veće terete, koje nosi šestero ljudi"
črčak,cvrčak
črčki,cvrčci
čreda,"smjena, redoslijed, dogovoreni raspored, obavljanje nekog posla"
črešnja (črišnja),trešnja
črevca,vrsta korova
črjeni,crveni
črjeno,crveno
črljeno,crveno
črn,crn
črni lokić,pećurka livadna
črnika,"crnika, vrsta primorskog zimzelenog hrasta"
črno,crno
črv,crv
čuda,"puno, mnogo"
ća,otići
ća,daleko
ća pasali,otišli
ćaća,tata
ćaća,otac
ćakulat,razgovarati
ćakulat,pričati o
ćakulon,brbljavac
ćakulona,brbljavica
ćanta,opletena staklena boca od 2 l
ćapala,uhvatila
ćapala,uhvatila
ćapan,"uhvaćen, ulovljen, ćaknut, luckast"
ćapat,uloviti
ćaro,"svjetlo, jasno"
ćemo,hoćemo
ćepa,"pljuska, šamar"
ćepat,pljuskati
ćika,opušak
ćikabernica,pepeljara (Kastavština)
ćikara,pepeljara
ćikat,"žvakati duhan, vrsta ljubomore"
ćikulata,čokolada
ćo,druže ! (oslovljavanje)!
ćolica,"svjetiljka na ulje, uljanica"
ćorav,smanjenog vida
ćuća,"sigurnosno uže, potegač koće"
ćuri,drijema
ćuti se,osjećati se
ćutit,osjećati
da,dati
dabast,zaboravljiv
dakordo,složno
damižana,opletena oveća boca
dan zmaknjuje,spušta se veče
danaska,danas
dati kontru,naglo povući najlon
daž,kiša
daži,pada kiša
dažjeni,"kišni, kišoviti"
debula,slabašna
deca,djeca
dečica,dječica
dečina,dječurlija
ded,djed
deklamirat,recitirati
del,dio
delat,raditi
delavci,radnici
delidba,"dijeljenje, razdioba"
depožit,"spremište, rezervar"
"derić, derik","dizalo, dizalica, vitlo, pomoćni jarbol"
dešperija,"bez nade, beznađe"
dešpet,"nepravda, prkos, inat, zloba, neugodnost"
"dešpetivac, dešpetljivac","zlobnik, onaj koji čini nepravdu"
deštard,"tvrdoglav, svojeglav"
deštin,sudbina
dešturb,uznemirenost
detečji,dječji
devica,"sluškinja, kućna pomoćnica"
dežbrigat,osloboditi se brige
dica,djeca
dignut,podići
diguje,dizati
dih,miris
dihat,disati
dindona,ljulja
diraka,"draž, glog"
dišeće,mirisno
dišeće,mirisno
dišel,mirisati
dišenjat,"zacrtati, crtati"
diši,miriše
diškorš,razgovor
dišperana,"tužna, razočarana, žalosna"
dišpet,"inat, nestašluk"
dišpijacer,učiniti na žao
distancat se,udaljiti se
dite,dijete
diva detelina,divlja djetelina
diva koza,divokoza
